Question,Answer
Who is Mark Hunter?,He is a high school student in Phoenix.
Where does this radio station take place?,It takes place in Mark's parents basement. 
Why do more students tune into Mark's show?,Mark talks about what goes on at school and in the community.
Who commits suicide?,Malcolm.
What does Paige jam into her microwave?,She jams her medals and accolades. 
What does Mark do with his radio station?,He dismantles it and attaches it to his mother's jeep.
What does Mark tell the protesting students?,He tells them to make their own future.
Who gets arrested?,Mark and Nora.
What does the radio show cause?,It causes trouble. 
Where does Mark Broadcast his station from?,Parent's Basement
What is Mark's only outlet?,His Radio station 
What is Mark's Pirate Station's theme song ?,Everybody Knows
What is Nora Diniro to Mark?,Fellow Student
Why does Nora track Mark down?,Malcom' s suicide
What does Mark urge his listeners to do?,Do something about their problems.
Who is called in to investigate Mark's radio station? ,The FCC
Why did the principal commit fraud?,To retain government funding
What did the principal do with poor achieving students?,Expelled them
Who drives the Jeep while Mark broadcasts? ,Nora
Where does Mark go to school?,"Phoenix, Arizona."
Where does Mark broadcast his radio station?,In his parent's basement.
What does Mark use the song Everybody Knows for?,His radio stations theme song.
"When Harry tries to reason with Malcolm, what does Malcolm do?",Commits suicide.
What does Paige do with her medals?,Puts them in the microwave.
How does Paige get injured?,When the microwave explodes.
Why is the FCC called?,To investigate the radio show.
What was the principle doing with the problem students?,Expelling them.
Who is chasing Mark and Nora in the jeep?,The cops and the FCC.
What are the students doing when Mark and Nora drive up?,Protesting.
Who is Miss Delmer?,the elderly spinster aunt of the Earl de Verseley and Captain Delmar
Who does Arabella Mason wed?,"Ben Keene, Delmar's valet"
How does Percival Keene get his name?,"Percival is Captain Delmar's first name, and Keene is Ben's last name"
Who is the bully that steals Percival's lunch?,"his teacher, Mr. O'Gallagher"
How does Percival get even with O'Gallagher after he takes all of the boy's fireworks?,He sets them on fire with the teacher sitting on them
Who does Percival convince the Pirates to spare?,a rich Dutch merchant and his daughter Minnie
How does Percival save Captain Delmar's life?,"When the captain is ill, Percival takes his place in a duel with a French officer"
What shocking news does Percival's mother admit to?,Captain Delmar is Percival's father
What happens when Percival is captured by the French?,he is sentenced to execution
What news does Percival receive at the end of the story?,"He has been granted the right to use his father's name, Delmar"
What is the name of the de Versely family house?,Madeline Hall
Who lives at Madeline Hall?,Miss Delmar
Who does Capitan Delmar suggest Ben marry in secret?,Arabella
Who is Ben and Arabella's son?,Percival Keene
What does Percival do to his grandmother that caused him to go away to school?,He bit his grandmother.
Who's lives does Percival convince the pirate captain to spare?,A Dutch merchant and his daughter
Who becomes Lord de Versely after his brother dies?,Colonial Delmar
What is Percival promoted to after a battalion with a French war ship?,Capitan
Who does Percival propose to?,Minni
What is Percival granted at the end of the story?,The arms and name of Delmar
Who is Arabella Manson?,Miss Delma house guest
 Who is Been Kneene?,His Captain Delmar valet
Who did Ben married in secrete ?,Arabella Manson
Who was Percival Kneene?,Arabella and Been son
What school did Percival was sent to?,Mr O'Gallagher school
Who was  Percival biological father?,Captain  Delmar
Why did H. M. Calliope took Percival as  prisoner?,Because Percival skin was dyed tan
Who did Percival reunited with?,Minnie
Who was Minnie?,A Heiress
What country do the explorers eventually return to at the end?,England
What species was already extinct but one was killed during the course of the story?,A Bluebuck antelope
What type of birds attack the balloon?,Condors
"Where are the explorers when they run out of water, stranded?",The Sahara desert
What was the tribe going to do to the missionary before he is rescued by the explorers?,Sacrifice him
The initial exploration is to find the source of what?,The Nile river
What area is described as a desert but is actually a savanna?,The interior of Africa near modern day Central African Republic.
What are the names of Dr. Ferguson's companions?,"Joe and Richard ""Dick"" Kennedy"
Where does the trip begin on the east coast?,Zanzibar
Where do Dr. Samuel Ferguson and his companions travel across in the hydrogen balloon?,The African continent 
Who was Dr. Ferguson's man servant?,Joe. 
What type of gas is used in the balloon?,Hydrogen
What is the primary focus of the explorers at the beginning of their journey?,They are seeking out the source of the Nile River. 
What sort of landscape is used to describe the interior of Africa?,Desert 
"When the balloon is over run by condors, what does Joe decide to do?",Joe jumps out of the balloon. 
What is Dick Kennedy's profession?,He is a professional hunter. 
Which explorer had previously gone on expeditions in the areas around the regions of the Sahara and Chad?,Heinrich Barth 
Which country do the explorers return to after their African expedition?,England
Where does the explorers trip in Africa begin?,Zanzibar/on the east coast
Why did the explorers save the missionary?,The native tribe was preparing to sacrifice him. 
Who accompanied Dr.Samuel Ferguson on  his trip to Africa?,"His friend, Richard ""Dick"" Kennedy and his manservant Joe"
What was Dr. Ferguson's profession?,He was a scholar and an explorer
Why did Joe jumped out of the balloon?,Because it was attacked by condors
What was the purpose of Dr. Ferguson's trip to Africa?,To link together the trips of Sir. Richard Burton and John Hanning Speke with those of Heinrich Barth
What was the first African place they landed on?,Zanzibar
What did Mr. Kennedy do for a living?,He was a professional hunter
What was the main focus at the beginning of the trip?,They wanted to find the source of the Nile
Where was the starting point of the trip?,England
Who did they rescue from a native tribe?,A missionary man
What was the name of Olivia's former master that she was escaping from?,Shah Amurath
What were the ancient ruins decorated with on the deserted island where Conan and Olivia slept?,Statues
Who frees Conan from the pirates who knocked him unconscious?,Olivia
What is the name of the city Olivia is escaping from?,Akif
What do Conan and Olivia use to flee the deserted island?,Pirate ship
What happens to the Captain of the pirate ship that docks on the deserted island?,Conan slays him.
"As they leave the island, what does Conan say he will make Olivia?",Queen of the Blue Sea
Who else is on the the ship as Conan and Olivia depart the deserted island?,pirates from the ship
Where was Conan hiding out when he found Olivia?,Marshes
What do the pirates nickname the island?,"""Devil Island"""
What was the title of the story?,Shadows in the Moonlight
Who Fled the city of Akif?,Olivia
Why was the newcomer nearly mad?,He hidden in the reeds for so long
Where did they stay the first night?,In ancient ruins with lifelike statues
What was Conan more concerned about?,Something lurking in the jungle
What comes into port on the island?,A pirate ship
Who was the dark figure?,A giant man ape
What was happening back at the ruins?,a horrific slaughter
What was the island called?,Devil Island
"Who was made ""Queen of the Blue Sea""?",Olivia
"At the start of story, what is Olivia escaping?","Life in the city of Akif, under her former master, Shah Amurath."
Who does the mad man who defeats Olivia's pursuer turn out to be? ,Conan the Cimmerian.
Where do Conan and Olivia seek refuge to take a rest?,In ancient ruins on a deserted island.
"When Conan and Olivia spend the night in the ancient ruins, what is Olivia concerned about?","That the statues were once men, and they will come to life and attack them. "
What does Conan do before he is captured by pirates?,Kill the pirate captain.
What do the pirates do with Conan after they tie him up?,"They talk about what to do with him, drink too much, and fall asleep."
Who frees Conan from the pirates?,Olivia.
What followed Olivia through the jungle and back to the ruins?,A giant man-ape.
"After the man-ape is defeated, where do Olivia and Conan go?",To take over the pirate ship.
What happens when Conan is confronted by the pirates at the end of the story?,The pirates make him their captain.
Where was Olivia held captive at?,Akif
What body of water is Olivia corned in a marsh near?,Vilayet Sea
What is the newcomers' name that Olivia meets?,Conan
Where does Olivia and Conan hide after fleeing Shuh Amurath?,Boat
What does Olivia think of the statues in the moonlight?,That they will come to life
What shows up at the deserted island?,Pirate ship
What does Olivia escape away from when going to the ruins?,Dark Figure
"According to the pirates, what is the name of the island?",Devil Island
Who made Conan a captain?,Pirates
What did Conan say he will do to Olivia?,"Make her ""Queen of the Blue Sea"""
What city has Olivia fled from?,Olivia has fled from Akif.
Who is chasing and pursuing olivia?,Shah Amurath is chasing Olivia.
What is being lobbed at Olivia from the jungle?,Giant boulders are being lobbed at Olivia.
What knocks Conan unconscious?,A stone from a ling knocks him unconscious.
Who frees Conan from the pirates?,Olivia frees Conan from the pirates.
What nickname do the pirates give the island?,Devil Island.
Who kills the captain of the pirate ship?,Conan kills the captain.
Who becomes the new captain of the pirate ship?,Conan becomes the new captain.
What kind of queen does Olivia become?,Queen of the Blue Sea.
What does Olivia see in her dream?,A band of men turned into statues.
What is Chelios' profession?,Hitman
Who does Carlito contract Chelios to kill?,mafia boss Don Kim
Where is Chelios when he is injected with a drug?,His apartment
How does the drug Chelios is injected with eventually kill people?,"inhibits adrenalin flow, slows heart and brings on death"
What does Carlito say when Chelios asks him for an antidote?,It doesn't exist.
Who is Kaylo?,A transvestite that helps Chelios find Alex.
Who is Eve?,Chelios' girlfriend
Which twist is revealed right before Chelios will be injected with a second dose of the drug?,"Having been spared by Chelios, Don Kim is alive."
How does Verona try to escape from the rooftop battle?,Via helicopter
How does Verona die?,Chelios snaps his neck.
What is Ricky Verona's brother's name?,Alex
Who is the mafia doctor that Chelios calls for an antidote?,Doc Miles
Who does Carlito hire Chelios to kill?,Don Kim
What is the name of Chelios girlfriend?,Eve
Who is it that kills Carlito?,Ricky Venora
What was the name of Chelios' street informant?,Kaylo
How did Ricky Verona find out his brother dies?,"Chelios calls him, using Verona's brother's phone."
What is the name of the rival group that Carlito is having problems with?,The Traids
What did Verona do to avenge his brother's murder?,He sends his men to get Eve.
"Who stops Carlito, on the hotel's rooftop, before he can flee aboard his helicopter?",Carlios
What is Chelios' job?,Hitman
Who is Chelios contracted to kill?,Don Kim
What does Chelios have to do after being injected with a drug?,Keep his adrenaline up
Who was Chelios planning to retire for?,Eve
Who was kidnapped by Carlito's men?,Kaylo
Who appears as Carlito is about to inject Chelios with another syringe?,Don Kim
Who eventually injects Chelios with the second syringe?,Verona
How does Carlito try to escape the rooftop?,Helicopter
How does Carlito die?,Verona shoots him
Why did Chelios call Eve?,To apologize for not coming back 
How long did Crash play in the majors?,21 days
How long did Crash play in the minor league?,12 years
Who does Annie have a relationship with in the beginning of the story?,Ebby/Nuke
What nickname does Annie give Ebby?,Nuke
What nickname does Crash give Ebby?,Meat
What is Crash trying to teach Ebby regarding his pitching?,To control his fastball
What does Crash do when Ebby refuses the calls he's made?,He tells the batter what's coming
What is Crash trying to teach Ebby by letting the batter make the pitching calls?,Not to think
What happens to Nuke at the end of the story?,He gets called up to the majors
What record does Crash break ?,Minor league record for career home runs
Why is Crash brought to the Durham Bulls?,He is brought up to help train a pitcher with great potential but who needs control
For whom's affection do Ebby and Crash vie?,Annie
What team does Crash join after being released from the Durham Bulls?,The Asheville Tourists
What nickname does Crash give Ebby?,Meat
What do Crash and Annie realize once Ebby becomes a better baseball player?,Crash and Annie are a better match than Annie and Ebby
"What is Crash's initial reaction to Ebby getting called up to ""The Show""?",Crash is jealous
Why is Crash jealous when Ebby gets called up to the major leagues?,Crash thinks that Ebby doesn't appreciate his own talent
Why do the Bulls release Crash?,The Bulls do not need him anymore once Ebby is called up to the major leagues
What does Crash do once he retires?,Crash goes back to be with Annie
What kind of relationship do Crash and Ebby have when they first meet?,Crash and Ebby do not start out on the best terms and are fighting over the same girl
What is the nickname Crash gives to Ebby?,Meat
Who chooses players from the Bulls to be her lover and student?,Annie
What nickname does Annie give to Ebby?,Nuke
Who is jealous of Ebby?,Crash
Who did Annie date?,"Ebby, then later Crash"
What new team does Crash join?,Asheville Tourists
What field position does Ebby play?,pitcher
Why was Crash let go from the Bulls?,He was no longer needed since Ebby went to the majors.
"At the end of the story, in what town does Crash plan to go to be a manager?",Visalia
Where did Crash live for the 21 greatest days of his life?,Major League Baseball
WHO NORMALLY DELIVERS THE OPENING PROLOGUE IN THE PLAY?,THE ACTOR WEARING THE BLACK CLOAK
WHAT NAME WAS CYNTHIA MORE FAMOUSLY KNOWN BY?,THE GODDESS DIANA
WHO DOES ECHO WEEP FOR?,NARCISSUS
WHAT DOES A DRINK FROM NARCISSUS'S SPRING CAUSE THE DRINKER TO DO?,FALL IN LOVE WITH THEMSELVES
IN WHAT VALLEY DID THE SOLEMN REVELS OF CYNTHIA TAKE PLACE?,GARGAPHIE IN GREECE
WHAT DID THE  SYMBOLIC VICES DISGUISE THEMSELVES TO BE?,VIRTUES
WHAT SENTENCE DID CYNTHIA GIVE TO THE SYMBOLIC VICES?,TO BATHE IN THE SPRING OF HELICON
WHO DRANK FROM THE SPRING AT CYNTHIA'S REVELS?,ALL THE COURTIERS AND LADIES WHO ATTENDED CYNTHIA'S REVELS
HOW MANY PHASES DID THE COURT COMPLIMENT COMPETITION HAVE?,4 PHASES
WHO CHALLENGES THE COURTIERS TO COURT COMPLIMENT COMPETITION?,ASOTUS
How many phases does the competition have?,Four.
Who does Diana represent?,Queen Elizabeth.
Who is sleeping at the beginning of the play?,Echo
Where is Narcissus's spring?,Gargaphie Valley Greece.
Which two societies are aligned in this play?,Greek mythology and Queen Elizabeth's Court
Where do the dancers purify themselves?,Mount Helicon
Which page performs the dialogue?,Anaides
Who enters with Mercury?,Cupid
Who is the 2nd Earl of Essex?,Robert Devereux
From where does this play originate? ,Church choir
What are people arguing about as the story begins?,A black cloak 
Who announces the events that are to come to the dismay of the others on stage?,Anaides
What is another name for the Goddess Diana?,Cynthia
What does Diana order to take place  in the valley of Gargaphie?,Solemn revels
Why does Asotus become emboldened by vanity and self -love?,He drank from Narcissus' spring 
What challenge does Asotus propose to all comers?,"""Court Compliment"""
What does Diana tell the courtiers to do after the dance?,Purify themselves by bathing in a sacred spring
What effect does the spring of Narcissus have on those who drink from it?,Grow enamored of themselves
Who awakens Echo?,Mercury
Who does Cynthia represent in the masque?,Queen Elizabeth
Who does Maskull accept an invitation from?,Krag
Who is Krag an acquaintance of?,Nightspore
Where is Maskull traveling to?,Tormance
"When Maskull wakes up in Tormance, how many of his friends are with him?",None
Who does Maskull realize he really is?,Nightspore
Who does Krag claim that he is none as on Earth?,Pain
What kind of ship does Maskull travel in?,A crystal ship
Where is the abandoned observatory located?,In Scotland
Whose death does he learn is coming soon?,his own
Who gives the last revelation?,Krag
Why does Maskull accept an invitation Krag to go to Tormance?,He longs for adventure. 
Who is Krag to Maskull?,A acquaintance of his friend Nightspore.
"What sort of ship did Maskull, Krag, and Nightspore set of in?",A crystal ship
Where did not crystal ship come from?,From an abandoned observatory in Scotland.
Who is missing from the ship when Maskull wakes?,Krag and Nightspore.
How many people does Maskull usually see in the lands he travels?,Not more than 1 or 2.
What happens to the people Maskull meets in his travels to various lands?,They usually die by his hand or anothers.
Whom is known on Earth as Pain?,Krag.
Maskull learns that he is also what character? ,Nightspore.
"What country does Maskull, Krag, and Nightspore set off from?",Scotland
"On average, how many people does Maskull normally meet when traveling?",One or two
Where was Maskull planning on traveling to in the beginning of the story?,Tormance
What normally happens when Maskull meets new people in the lands he travels to?,Normally they die
Who has a revelation about the origin of the universe?,Krag
Who is Nightspore?,Maskull
What is Krag known as on Earth?,Pain
Why does Maskull accept to go to Tormance with Krag and Nightspore?,He was longing for adventures.
Where does Maskull wake up alone at?,Tormance
What type of ship did the three set off in?,A crystal ship
Why did Micky feel he lost the fight in Atlantic City?,Opponent was in a weight class of 20 pounds heavier.
What injury does Micky receive as he attempted to help his step-brother in a fight with police?,Broken hand
